,symbol,time,open,high,low,close,volume
0,XOM,2019-06-11 09:30:00-04:00,75.51,75.57,75.49,75.57,3587
1,XOM,2019-06-11 09:31:00-04:00,75.57,75.57,75.46,75.48,9332
2,XOM,2019-06-11 09:32:00-04:00,75.48,75.53,75.41,75.52,281950
3,XOM,2019-06-11 09:33:00-04:00,75.53,75.66,75.53,75.64,45291
4,XOM,2019-06-11 09:34:00-04:00,75.635,75.76,75.61,75.72,39090
5,XOM,2019-06-11 09:35:00-04:00,75.71,75.81,75.69,75.76,28252
6,XOM,2019-06-11 09:36:00-04:00,75.76,75.76,75.67,75.68,17281
7,XOM,2019-06-11 09:37:00-04:00,75.68,75.685,75.6,75.6,33516
8,XOM,2019-06-11 09:38:00-04:00,75.6,75.675,75.6,75.62,12793
9,XOM,2019-06-11 09:39:00-04:00,75.64,75.65,75.54,75.5765,23281
10,XOM,2019-06-11 09:40:00-04:00,75.575,75.64,75.57,75.6142,31917
11,XOM,2019-06-11 09:41:00-04:00,75.615,75.72,75.615,75.67,26862
12,XOM,2019-06-11 09:42:00-04:00,75.67,75.7,75.63,75.66,15276
13,XOM,2019-06-11 09:43:00-04:00,75.66,75.665,75.61,75.655,16931
14,XOM,2019-06-11 09:44:00-04:00,75.6585,75.75,75.65,75.73,27471
15,XOM,2019-06-11 09:45:00-04:00,75.72,75.76,75.71,75.725,32557
16,XOM,2019-06-11 09:46:00-04:00,75.72,75.72,75.62,75.62,34318
17,XOM,2019-06-11 09:47:00-04:00,75.62,75.625,75.54,75.54,32195
18,XOM,2019-06-11 09:48:00-04:00,75.545,75.57,75.53,75.57,25737
19,XOM,2019-06-11 09:49:00-04:00,75.57,75.59,75.53,75.58,40149
20,XOM,2019-06-11 09:50:00-04:00,75.58,75.62,75.52,75.52,27138
21,XOM,2019-06-11 09:51:00-04:00,75.52,75.52,75.5,75.5,56465
22,XOM,2019-06-11 09:52:00-04:00,75.51,75.555,75.51,75.517,12003
23,XOM,2019-06-11 09:53:00-04:00,75.515,75.525,75.5,75.51,70674
24,XOM,2019-06-11 09:54:00-04:00,75.52,75.58,75.52,75.555,32008
25,XOM,2019-06-11 09:55:00-04:00,75.5498,75.5498,75.49,75.5,12549
26,XOM,2019-06-11 09:56:00-04:00,75.5,75.51,75.47,75.51,20880
27,XOM,2019-06-11 09:57:00-04:00,75.51,75.51,75.455,75.465,37220
28,XOM,2019-06-11 09:58:00-04:00,75.465,75.465,75.42,75.455,52853
29,XOM,2019-06-11 09:59:00-04:00,75.455,75.47,75.42,75.46,19526
30,XOM,2019-06-11 10:00:00-04:00,75.46,75.475,75.4,75.43,24721
31,XOM,2019-06-11 10:01:00-04:00,75.435,75.44,75.37,75.405,24946
32,XOM,2019-06-11 10:02:00-04:00,75.405,75.41,75.36,75.375,11024
33,XOM,2019-06-11 10:03:00-04:00,75.375,75.395,75.31,75.31,18135
34,XOM,2019-06-11 10:04:00-04:00,75.3,75.32,75.265,75.29,17842
35,XOM,2019-06-11 10:05:00-04:00,75.29,75.323,75.265,75.323,9785
36,XOM,2019-06-11 10:06:00-04:00,75.33,75.335,75.315,75.315,14172
37,XOM,2019-06-11 10:07:00-04:00,75.3149,75.32,75.27,75.29,17931
38,XOM,2019-06-11 10:08:00-04:00,75.295,75.3,75.255,75.26,26150
39,XOM,2019-06-11 10:09:00-04:00,75.27,75.3,75.27,75.29,20485
40,XOM,2019-06-11 10:10:00-04:00,75.29,75.37,75.29,75.36,25554
41,XOM,2019-06-11 10:11:00-04:00,75.36,75.39,75.33,75.3545,39070
42,XOM,2019-06-11 10:12:00-04:00,75.35,75.37,75.34,75.36,42399
43,XOM,2019-06-11 10:13:00-04:00,75.37,75.475,75.36,75.465,71268
44,XOM,2019-06-11 10:14:00-04:00,75.465,75.54,75.45,75.54,32009
45,XOM,2019-06-11 10:15:00-04:00,75.54,75.54,75.45,75.45,33980
46,XOM,2019-06-11 10:16:00-04:00,75.45,75.494,75.4446,75.47,16435
47,XOM,2019-06-11 10:17:00-04:00,75.475,75.515,75.46,75.515,31319
48,XOM,2019-06-11 10:18:00-04:00,75.515,75.54,75.505,75.52,30818
49,XOM,2019-06-11 10:19:00-04:00,75.53,75.56,75.5232,75.56,31157
50,XOM,2019-06-11 10:20:00-04:00,75.56,75.56,75.515,75.519,94494
51,XOM,2019-06-11 10:21:00-04:00,75.515,75.575,75.485,75.57,27988
52,XOM,2019-06-11 10:22:00-04:00,75.57,75.72,75.57,75.72,38153
53,XOM,2019-06-11 10:23:00-04:00,75.72,75.72,75.645,75.65,39482
54,XOM,2019-06-11 10:24:00-04:00,75.64,75.65,75.55,75.57,26297
55,XOM,2019-06-11 10:25:00-04:00,75.57,75.61,75.55,75.605,54638
56,XOM,2019-06-11 10:26:00-04:00,75.61,75.645,75.58,75.635,25336
57,XOM,2019-06-11 10:27:00-04:00,75.6369,75.67,75.61,75.665,32693
58,XOM,2019-06-11 10:28:00-04:00,75.665,75.7,75.65,75.68,31644
59,XOM,2019-06-11 10:29:00-04:00,75.685,75.75,75.6734,75.74,29244
60,XOM,2019-06-11 10:30:00-04:00,75.74,75.77,75.71,75.76,32579
61,XOM,2019-06-11 10:31:00-04:00,75.76,75.76,75.68,75.69,18088
62,XOM,2019-06-11 10:32:00-04:00,75.695,75.7,75.65,75.6591,14037
63,XOM,2019-06-11 10:33:00-04:00,75.6591,75.6591,75.61,75.625,19739
64,XOM,2019-06-11 10:34:00-04:00,75.62,75.63,75.575,75.58,20114
65,XOM,2019-06-11 10:35:00-04:00,75.57,75.57,75.51,75.52,18759
66,XOM,2019-06-11 10:36:00-04:00,75.52,75.52,75.5,75.5,11226
67,XOM,2019-06-11 10:37:00-04:00,75.495,75.54,75.48,75.5,28431
68,XOM,2019-06-11 10:38:00-04:00,75.5063,75.51,75.47,75.495,21051
69,XOM,2019-06-11 10:39:00-04:00,75.495,75.5,75.45,75.45,48148
70,XOM,2019-06-11 10:40:00-04:00,75.44,75.445,75.4,75.435,28866
71,XOM,2019-06-11 10:41:00-04:00,75.435,75.435,75.39,75.4,16451
72,XOM,2019-06-11 10:42:00-04:00,75.3927,75.3927,75.345,75.355,17538
73,XOM,2019-06-11 10:43:00-04:00,75.355,75.395,75.34,75.345,30502
74,XOM,2019-06-11 10:44:00-04:00,75.345,75.36,75.32,75.33,33730
75,XOM,2019-06-11 10:45:00-04:00,75.335,75.41,75.335,75.39,25069
76,XOM,2019-06-11 10:46:00-04:00,75.38,75.3899,75.345,75.35,17848
77,XOM,2019-06-11 10:47:00-04:00,75.35,75.38,75.345,75.37,19382
78,XOM,2019-06-11 10:48:00-04:00,75.365,75.38,75.34,75.37,28493
79,XOM,2019-06-11 10:49:00-04:00,75.38,75.425,75.38,75.41,19517
80,XOM,2019-06-11 10:50:00-04:00,75.41,75.415,75.36,75.36,25448
81,XOM,2019-06-11 10:51:00-04:00,75.36,75.38,75.34,75.365,48547
82,XOM,2019-06-11 10:52:00-04:00,75.37,75.425,75.37,75.395,20060
83,XOM,2019-06-11 10:53:00-04:00,75.39,75.42,75.355,75.42,23111
84,XOM,2019-06-11 10:54:00-04:00,75.4147,75.45,75.38,75.45,27244
85,XOM,2019-06-11 10:55:00-04:00,75.45,75.46,75.42,75.435,14266
86,XOM,2019-06-11 10:56:00-04:00,75.4338,75.47,75.43,75.44,30342
87,XOM,2019-06-11 10:57:00-04:00,75.44,75.45,75.395,75.41,19964
88,XOM,2019-06-11 10:58:00-04:00,75.415,75.44,75.41,75.41,21890
89,XOM,2019-06-11 10:59:00-04:00,75.41,75.47,75.41,75.455,28154
90,XOM,2019-06-11 11:00:00-04:00,75.45,75.46,75.41,75.46,27897
91,XOM,2019-06-11 11:01:00-04:00,75.465,75.49,75.45,75.465,40408
92,XOM,2019-06-11 11:02:00-04:00,75.46,75.485,75.45,75.47,23562
93,XOM,2019-06-11 11:03:00-04:00,75.48,75.49,75.45,75.45,52308
94,XOM,2019-06-11 11:04:00-04:00,75.455,75.465,75.41,75.41,15046
95,XOM,2019-06-11 11:05:00-04:00,75.42,75.42,75.3933,75.41,21320
96,XOM,2019-06-11 11:06:00-04:00,75.41,75.46,75.405,75.46,7657
97,XOM,2019-06-11 11:07:00-04:00,75.47,75.49,75.46,75.46,16003
98,XOM,2019-06-11 11:08:00-04:00,75.46,75.46,75.42,75.46,20547
99,XOM,2019-06-11 11:09:00-04:00,75.46,75.52,75.46,75.5,17580
100,XOM,2019-06-11 11:10:00-04:00,75.5,75.57,75.5,75.565,22921
101,XOM,2019-06-11 11:11:00-04:00,75.57,75.57,75.52,75.55,26183
102,XOM,2019-06-11 11:12:00-04:00,75.56,75.57,75.51,75.51,34172
103,XOM,2019-06-11 11:13:00-04:00,75.51,75.55,75.5,75.54,121067
104,XOM,2019-06-11 11:14:00-04:00,75.54,75.54,75.455,75.455,14058
105,XOM,2019-06-11 11:15:00-04:00,75.455,75.475,75.42,75.475,23379
106,XOM,2019-06-11 11:16:00-04:00,75.48,75.54,75.465,75.52,13187
107,XOM,2019-06-11 11:17:00-04:00,75.52,75.54,75.4901,75.4969,17312
108,XOM,2019-06-11 11:18:00-04:00,75.4969,75.53,75.48,75.515,10389
109,XOM,2019-06-11 11:19:00-04:00,75.515,75.5401,75.5,75.5,25805
110,XOM,2019-06-11 11:20:00-04:00,75.49,75.54,75.49,75.52,30444
111,XOM,2019-06-11 11:21:00-04:00,75.52,75.54,75.5,75.5,26129
112,XOM,2019-06-11 11:22:00-04:00,75.5,75.55,75.49,75.5301,20657
113,XOM,2019-06-11 11:23:00-04:00,75.54,75.55,75.52,75.53,18962
114,XOM,2019-06-11 11:24:00-04:00,75.52,75.59,75.52,75.59,37281
115,XOM,2019-06-11 11:25:00-04:00,75.59,75.59,75.54,75.54,6413
116,XOM,2019-06-11 11:26:00-04:00,75.54,75.565,75.5165,75.5165,12464
117,XOM,2019-06-11 11:27:00-04:00,75.5165,75.55,75.51,75.55,17289
118,XOM,2019-06-11 11:28:00-04:00,75.55,75.56,75.53,75.53,11498
119,XOM,2019-06-11 11:29:00-04:00,75.54,75.5431,75.52,75.535,12341
120,XOM,2019-06-11 11:30:00-04:00,75.535,75.54,75.51,75.52,15487
121,XOM,2019-06-11 11:31:00-04:00,75.53,75.55,75.515,75.515,9365
122,XOM,2019-06-11 11:32:00-04:00,75.52,75.53,75.46,75.47,13583
123,XOM,2019-06-11 11:33:00-04:00,75.47,75.51,75.47,75.4785,10842
124,XOM,2019-06-11 11:34:00-04:00,75.4785,75.4785,75.42,75.449,26041
125,XOM,2019-06-11 11:35:00-04:00,75.45,75.475,75.44,75.455,20310
126,XOM,2019-06-11 11:36:00-04:00,75.4597,75.497,75.455,75.47,17953
