,symbol,time,open,high,low,close,volume
0,HD,2019-06-13 09:30:00-04:00,199.55,199.95,199.55,199.95,302
1,HD,2019-06-13 09:31:00-04:00,199.45,200.1,199.45,199.895,67724
2,HD,2019-06-13 09:32:00-04:00,199.895,200.05,199.82,199.82,5427
3,HD,2019-06-13 09:33:00-04:00,199.9699,200.39,199.9699,200.3,8592
4,HD,2019-06-13 09:34:00-04:00,200.38,200.5,200.22,200.3875,13646
5,HD,2019-06-13 09:35:00-04:00,200.3875,200.84,200.3875,200.75,16638
6,HD,2019-06-13 09:36:00-04:00,200.75,201.2,200.73,200.78,25605
7,HD,2019-06-13 09:37:00-04:00,200.78,200.97,200.64,200.64,6176
8,HD,2019-06-13 09:38:00-04:00,200.64,200.93,200.64,200.74,11580
9,HD,2019-06-13 09:39:00-04:00,200.74,200.84,200.26,200.26,10002
10,HD,2019-06-13 09:40:00-04:00,200.26,200.3699,200.15,200.35,8196
11,HD,2019-06-13 09:41:00-04:00,200.35,200.38,200.08,200.08,9798
12,HD,2019-06-13 09:42:00-04:00,200.1,200.41,200.01,200.41,13483
13,HD,2019-06-13 09:43:00-04:00,200.469,200.52,200.4,200.46,3254
14,HD,2019-06-13 09:44:00-04:00,200.46,200.71,200.46,200.695,6415
15,HD,2019-06-13 09:45:00-04:00,200.695,200.9,200.65,200.8,6487
16,HD,2019-06-13 09:46:00-04:00,200.8,200.92,200.8,200.8695,5653
17,HD,2019-06-13 09:47:00-04:00,200.8695,201.1,200.8695,200.92,14986
18,HD,2019-06-13 09:48:00-04:00,200.97,201.0149,200.86,201.0149,6978
19,HD,2019-06-13 09:49:00-04:00,201.0149,201.0149,200.78,200.78,5809
20,HD,2019-06-13 09:50:00-04:00,200.71,200.81,200.56,200.6,6453
21,HD,2019-06-13 09:51:00-04:00,200.577,200.68,200.5338,200.57,8015
22,HD,2019-06-13 09:52:00-04:00,200.57,200.65,200.57,200.6,5202
23,HD,2019-06-13 09:53:00-04:00,200.6,200.69,200.53,200.53,9375
24,HD,2019-06-13 09:54:00-04:00,200.53,200.59,200.42,200.52,9542
25,HD,2019-06-13 09:55:00-04:00,200.52,200.74,200.25,200.74,36263
26,HD,2019-06-13 09:56:00-04:00,200.74,200.746,200.64,200.64,21140
27,HD,2019-06-13 09:57:00-04:00,200.64,200.77,200.62,200.77,7671
28,HD,2019-06-13 09:58:00-04:00,200.77,200.77,200.61,200.62,3577
29,HD,2019-06-13 09:59:00-04:00,200.64,200.78,200.57,200.57,15155
30,HD,2019-06-13 10:00:00-04:00,200.6,200.652,200.4863,200.52,7365
31,HD,2019-06-13 10:01:00-04:00,200.46,200.71,200.46,200.69,7138
32,HD,2019-06-13 10:02:00-04:00,200.69,200.71,200.63,200.675,8958
33,HD,2019-06-13 10:03:00-04:00,200.675,200.77,200.55,200.55,6746
34,HD,2019-06-13 10:04:00-04:00,200.55,200.65,200.515,200.58,3558
35,HD,2019-06-13 10:05:00-04:00,200.64,200.64,200.49,200.51,6647
36,HD,2019-06-13 10:06:00-04:00,200.54,200.63,200.48,200.5105,8802
37,HD,2019-06-13 10:07:00-04:00,200.5,200.61,200.5,200.53,8401
38,HD,2019-06-13 10:08:00-04:00,200.59,200.59,200.44,200.48,5224
39,HD,2019-06-13 10:09:00-04:00,200.48,200.73,200.44,200.7,18735
40,HD,2019-06-13 10:10:00-04:00,200.7,200.72,200.58,200.59,7846
41,HD,2019-06-13 10:11:00-04:00,200.59,200.66,200.51,200.63,5188
42,HD,2019-06-13 10:12:00-04:00,200.63,200.71,200.55,200.55,6613
43,HD,2019-06-13 10:13:00-04:00,200.55,200.56,200.43,200.56,5921
44,HD,2019-06-13 10:14:00-04:00,200.6,200.72,200.5603,200.65,8732
45,HD,2019-06-13 10:15:00-04:00,200.62,200.68,200.545,200.68,6039
46,HD,2019-06-13 10:16:00-04:00,200.68,200.74,200.6,200.65,2066
47,HD,2019-06-13 10:17:00-04:00,200.66,200.79,200.6471,200.78,5302
48,HD,2019-06-13 10:18:00-04:00,200.78,200.83,200.71,200.815,4384
49,HD,2019-06-13 10:19:00-04:00,200.815,200.815,200.57,200.64,9083
50,HD,2019-06-13 10:20:00-04:00,200.64,200.65,200.59,200.59,3020
51,HD,2019-06-13 10:21:00-04:00,200.629,200.705,200.58,200.68,3699
52,HD,2019-06-13 10:22:00-04:00,200.68,200.93,200.68,200.85,7349
53,HD,2019-06-13 10:23:00-04:00,200.9,200.91,200.73,200.79,4270
54,HD,2019-06-13 10:24:00-04:00,200.75,200.82,200.71,200.71,6303
