,symbol,time,open,high,low,close,volume
0,T,2019-06-13 09:30:00-04:00,32.22,32.25,32.2,32.21,461833
1,T,2019-06-13 09:31:00-04:00,32.21,32.21,32.17,32.2,65847
2,T,2019-06-13 09:32:00-04:00,32.2,32.2,32.1799,32.19,25359
3,T,2019-06-13 09:33:00-04:00,32.19,32.2,32.165,32.1652,29071
4,T,2019-06-13 09:34:00-04:00,32.161,32.17,32.143,32.17,26923
5,T,2019-06-13 09:35:00-04:00,32.165,32.195,32.16,32.19,25980
6,T,2019-06-13 09:36:00-04:00,32.19,32.25,32.19,32.25,64828
7,T,2019-06-13 09:37:00-04:00,32.25,32.27,32.24,32.2563,34975
8,T,2019-06-13 09:38:00-04:00,32.2563,32.27,32.23,32.24,55386
9,T,2019-06-13 09:39:00-04:00,32.2434,32.28,32.24,32.2701,57547
10,T,2019-06-13 09:40:00-04:00,32.2701,32.29,32.27,32.29,31521
11,T,2019-06-13 09:41:00-04:00,32.285,32.31,32.28,32.2884,88808
12,T,2019-06-13 09:42:00-04:00,32.2884,32.29,32.265,32.27,34820
13,T,2019-06-13 09:43:00-04:00,32.27,32.3,32.27,32.295,67823
14,T,2019-06-13 09:44:00-04:00,32.295,32.3,32.28,32.2841,12324
15,T,2019-06-13 09:45:00-04:00,32.28,32.2831,32.27,32.27,27185
16,T,2019-06-13 09:46:00-04:00,32.27,32.2786,32.26,32.27,15810
17,T,2019-06-13 09:47:00-04:00,32.27,32.29,32.26,32.265,30732
18,T,2019-06-13 09:48:00-04:00,32.265,32.2762,32.25,32.2762,20938
19,T,2019-06-13 09:49:00-04:00,32.28,32.2898,32.27,32.28,8956
20,T,2019-06-13 09:50:00-04:00,32.28,32.3,32.28,32.295,29853
21,T,2019-06-13 09:51:00-04:00,32.297,32.32,32.295,32.32,188482
22,T,2019-06-13 09:52:00-04:00,32.32,32.325,32.3,32.31,40082
23,T,2019-06-13 09:53:00-04:00,32.3068,32.3068,32.2805,32.3,23709
24,T,2019-06-13 09:54:00-04:00,32.3,32.3084,32.2735,32.285,56391
25,T,2019-06-13 09:55:00-04:00,32.285,32.31,32.285,32.2901,37428
26,T,2019-06-13 09:56:00-04:00,32.29,32.3,32.2828,32.3,13255
27,T,2019-06-13 09:57:00-04:00,32.3,32.3,32.255,32.2609,67077
28,T,2019-06-13 09:58:00-04:00,32.2609,32.2699,32.2546,32.2553,16654
29,T,2019-06-13 09:59:00-04:00,32.2553,32.27,32.2511,32.26,10578
30,T,2019-06-13 10:00:00-04:00,32.26,32.28,32.25,32.25,44596
31,T,2019-06-13 10:01:00-04:00,32.25,32.25,32.23,32.25,24410
32,T,2019-06-13 10:02:00-04:00,32.2479,32.26,32.24,32.24,55492
33,T,2019-06-13 10:03:00-04:00,32.24,32.25,32.22,32.225,33290
34,T,2019-06-13 10:04:00-04:00,32.2269,32.23,32.17,32.1731,48377
35,T,2019-06-13 10:05:00-04:00,32.1731,32.19,32.17,32.19,53039
36,T,2019-06-13 10:06:00-04:00,32.19,32.19,32.16,32.16,21556
37,T,2019-06-13 10:07:00-04:00,32.16,32.19,32.15,32.18,90400
38,T,2019-06-13 10:08:00-04:00,32.18,32.19,32.17,32.18,35373
39,T,2019-06-13 10:09:00-04:00,32.18,32.18,32.155,32.16,77429
40,T,2019-06-13 10:10:00-04:00,32.16,32.17,32.12,32.1649,53299
41,T,2019-06-13 10:11:00-04:00,32.165,32.18,32.16,32.1734,14672
42,T,2019-06-13 10:12:00-04:00,32.175,32.18,32.1718,32.1783,9444
43,T,2019-06-13 10:13:00-04:00,32.1783,32.19,32.17,32.185,23420
44,T,2019-06-13 10:14:00-04:00,32.19,32.21,32.1837,32.2,31566
45,T,2019-06-13 10:15:00-04:00,32.2,32.2,32.18,32.195,26790
46,T,2019-06-13 10:16:00-04:00,32.195,32.21,32.19,32.2,31883
47,T,2019-06-13 10:17:00-04:00,32.2,32.23,32.2,32.23,17293
48,T,2019-06-13 10:18:00-04:00,32.2293,32.2293,32.21,32.215,14835
49,T,2019-06-13 10:19:00-04:00,32.21,32.23,32.2,32.23,28974
