,symbol,time,open,high,low,close,volume
0,FB,2019-05-30 09:30:00-04:00,183.08,183.48,182.8,183.0423,179406
1,FB,2019-05-30 09:31:00-04:00,183.0423,183.05,182.2,182.4,84338
2,FB,2019-05-30 09:32:00-04:00,182.4,182.4,181.63,182.2452,92156
3,FB,2019-05-30 09:33:00-04:00,182.16,182.67,182.14,182.1738,47304
4,FB,2019-05-30 09:34:00-04:00,182.17,182.24,181.56,181.64,39335
5,FB,2019-05-30 09:35:00-04:00,181.63,181.89,181.54,181.68,56593
6,FB,2019-05-30 09:36:00-04:00,181.6,181.79,181.41,181.7345,55677
7,FB,2019-05-30 09:37:00-04:00,181.75,181.79,181.46,181.56,38491
8,FB,2019-05-30 09:38:00-04:00,181.51,181.62,181.45,181.6,51238
9,FB,2019-05-30 09:39:00-04:00,181.64,181.72,181.41,181.4895,44746
10,FB,2019-05-30 09:40:00-04:00,181.48,181.597,181.26,181.34,65165
11,FB,2019-05-30 09:41:00-04:00,181.32,181.32,180.89,181.2703,155368
12,FB,2019-05-30 09:42:00-04:00,181.2523,181.48,181.15,181.35,47513
13,FB,2019-05-30 09:43:00-04:00,181.38,181.67,181.38,181.53,90096
14,FB,2019-05-30 09:44:00-04:00,181.56,181.6,181.24,181.28,56043
15,FB,2019-05-30 09:45:00-04:00,181.28,181.35,181.11,181.1499,40369
16,FB,2019-05-30 09:46:00-04:00,181.1499,181.38,181.0,181.38,32871
17,FB,2019-05-30 09:47:00-04:00,181.388,181.7099,181.31,181.49,59879
18,FB,2019-05-30 09:48:00-04:00,181.52,181.66,181.469,181.52,24437
19,FB,2019-05-30 09:49:00-04:00,181.52,181.55,181.44,181.52,29249
20,FB,2019-05-30 09:50:00-04:00,181.53,181.6,181.47,181.52,28975
21,FB,2019-05-30 09:51:00-04:00,181.52,181.75,181.47,181.7,44980
22,FB,2019-05-30 09:52:00-04:00,181.73,181.73,181.6212,181.6694,18208
23,FB,2019-05-30 09:53:00-04:00,181.6694,181.67,181.47,181.54,30122
24,FB,2019-05-30 09:54:00-04:00,181.5,181.59,181.41,181.53,43699
25,FB,2019-05-30 09:55:00-04:00,181.53,181.64,181.44,181.45,31918
26,FB,2019-05-30 09:56:00-04:00,181.48,181.51,181.3436,181.48,35971
27,FB,2019-05-30 09:57:00-04:00,181.48,181.52,181.235,181.26,37575
28,FB,2019-05-30 09:58:00-04:00,181.284,181.51,181.27,181.4,53235
29,FB,2019-05-30 09:59:00-04:00,181.4,181.5,181.33,181.44,31025
30,FB,2019-05-30 10:00:00-04:00,181.44,181.51,181.37,181.4919,24774
31,FB,2019-05-30 10:01:00-04:00,181.485,181.55,181.47,181.49,22026
32,FB,2019-05-30 10:02:00-04:00,181.49,181.65,181.42,181.65,35990
33,FB,2019-05-30 10:03:00-04:00,181.65,181.65,181.57,181.62,17581
34,FB,2019-05-30 10:04:00-04:00,181.62,181.93,181.62,181.92,47686
35,FB,2019-05-30 10:05:00-04:00,181.92,181.92,181.56,181.6,28436
36,FB,2019-05-30 10:06:00-04:00,181.62,181.69,181.56,181.585,30116
37,FB,2019-05-30 10:07:00-04:00,181.585,181.585,181.3201,181.335,34383
38,FB,2019-05-30 10:08:00-04:00,181.35,181.39,181.29,181.38,33323
39,FB,2019-05-30 10:09:00-04:00,181.38,181.46,181.33,181.38,11967
40,FB,2019-05-30 10:10:00-04:00,181.41,181.51,181.365,181.4,55880
41,FB,2019-05-30 10:11:00-04:00,181.4294,181.58,181.41,181.518,15383
42,FB,2019-05-30 10:12:00-04:00,181.5151,181.69,181.5,181.59,23757
43,FB,2019-05-30 10:13:00-04:00,181.58,181.7,181.55,181.65,22618
44,FB,2019-05-30 10:14:00-04:00,181.65,181.84,181.6277,181.8273,31553
45,FB,2019-05-30 10:15:00-04:00,181.81,182.05,181.81,182.0056,44540
46,FB,2019-05-30 10:16:00-04:00,182.0,182.09,181.97,182.01,43334
47,FB,2019-05-30 10:17:00-04:00,181.995,182.07,181.98,182.03,43625
48,FB,2019-05-30 10:18:00-04:00,182.03,182.05,181.93,182.05,16804
49,FB,2019-05-30 10:19:00-04:00,182.05,182.0905,181.99,182.03,19739
50,FB,2019-05-30 10:20:00-04:00,182.02,182.08,181.98,182.01,9825
51,FB,2019-05-30 10:21:00-04:00,182.03,182.1,182.03,182.065,14857
52,FB,2019-05-30 10:22:00-04:00,182.075,182.08,182.0,182.0287,15595
53,FB,2019-05-30 10:23:00-04:00,182.0287,182.03,181.97,182.01,25917
54,FB,2019-05-30 10:24:00-04:00,182.0139,182.07,181.985,182.02,30558
55,FB,2019-05-30 10:25:00-04:00,182.04,182.08,181.98,182.08,17371
56,FB,2019-05-30 10:26:00-04:00,182.09,182.23,182.05,182.1,30545
57,FB,2019-05-30 10:27:00-04:00,182.1,182.19,182.03,182.07,41675
58,FB,2019-05-30 10:28:00-04:00,182.07,182.18,182.03,182.06,27985
59,FB,2019-05-30 10:29:00-04:00,182.06,182.06,181.86,181.8916,15972
60,FB,2019-05-30 10:30:00-04:00,181.88,181.97,181.84,181.87,28927
61,FB,2019-05-30 10:31:00-04:00,181.87,182.07,181.86,182.0102,25495
62,FB,2019-05-30 10:32:00-04:00,182.03,182.24,182.03,182.18,32831
63,FB,2019-05-30 10:33:00-04:00,182.19,182.225,182.04,182.07,20330
64,FB,2019-05-30 10:34:00-04:00,182.07,182.38,182.0528,182.35,34611
65,FB,2019-05-30 10:35:00-04:00,182.35,182.4595,182.2938,182.32,58699
66,FB,2019-05-30 10:36:00-04:00,182.32,182.43,182.2007,182.235,18351
67,FB,2019-05-30 10:37:00-04:00,182.2,182.2452,182.06,182.13,23472
68,FB,2019-05-30 10:38:00-04:00,182.13,182.13,181.94,182.02,25481
69,FB,2019-05-30 10:39:00-04:00,182.0356,182.0714,181.99,181.99,6721
70,FB,2019-05-30 10:40:00-04:00,181.99,182.03,181.9211,182.03,24001
71,FB,2019-05-30 10:41:00-04:00,182.0343,182.078,181.95,182.06,15574
72,FB,2019-05-30 10:42:00-04:00,182.06,182.2383,182.05,182.19,21339
73,FB,2019-05-30 10:43:00-04:00,182.2,182.29,182.16,182.2891,16792
74,FB,2019-05-30 10:44:00-04:00,182.2891,182.37,182.23,182.37,19939
75,FB,2019-05-30 10:45:00-04:00,182.37,182.64,182.35,182.5972,39809
76,FB,2019-05-30 10:46:00-04:00,182.5972,182.7659,182.59,182.72,53753
77,FB,2019-05-30 10:47:00-04:00,182.69,182.72,182.57,182.58,21563
78,FB,2019-05-30 10:48:00-04:00,182.59,182.61,182.47,182.5364,35638
79,FB,2019-05-30 10:49:00-04:00,182.5364,182.6087,182.5,182.5616,20213
80,FB,2019-05-30 10:50:00-04:00,182.5616,182.62,182.445,182.445,18224
81,FB,2019-05-30 10:51:00-04:00,182.445,182.445,182.34,182.3941,23135
82,FB,2019-05-30 10:52:00-04:00,182.39,182.39,182.251,182.32,46900
83,FB,2019-05-30 10:53:00-04:00,182.32,182.4447,182.32,182.39,16279
84,FB,2019-05-30 10:54:00-04:00,182.39,182.58,182.39,182.54,19817
85,FB,2019-05-30 10:55:00-04:00,182.5242,182.58,182.47,182.51,21622
86,FB,2019-05-30 10:56:00-04:00,182.5,182.53,182.46,182.49,19796
87,FB,2019-05-30 10:57:00-04:00,182.49,182.5,182.42,182.47,22078
88,FB,2019-05-30 10:58:00-04:00,182.47,182.58,182.4549,182.5532,13462
89,FB,2019-05-30 10:59:00-04:00,182.5532,182.5962,182.49,182.5,16438
90,FB,2019-05-30 11:00:00-04:00,182.5,182.6,182.45,182.5,24388
